105,11/23/2021,327,0.06, ,0.00, ,238, ,8.9, ,65.6, ,32.3, ,47.7, ,100, ,43, ,79, ,41.5, ,5.7, ,137.8, ,56.2, 
105,11/24/2021,328,0.08, ,0, ,268, ,6.5, ,59.5, ,34.2, ,46.6, ,75, ,42, ,60, ,33.5, ,6.1, ,147.4, ,55.1, 
105,11/25/2021,329,0.07, ,0, ,262, ,6.2, ,65.1, ,26.1, ,44.3, ,100, ,39, ,63, ,32.5, ,3.1, ,74.7, ,53.2, 
105,11/26/2021,330,0.07, ,0, ,241, ,6.9, ,65.7, ,31.2, ,47.1, ,77, ,42, ,62, ,34.9, ,3.4, ,81.1, ,53.2, 
105,11/27/2021,331,0.07, ,0, ,249, ,6.6, ,68.1, ,32.4, ,49.3, ,79, ,34, ,55, ,33.8, ,2.7, ,65.6, ,53.7, 
105,11/28/2021,332,0.07, ,0, ,253, ,6.2, ,70.9, ,32.5, ,49.7, ,70, ,32, ,51, ,32.5, ,2.4, ,58.1, ,54.2, 
105,11/29/2021,333,0.07, ,0, ,249, ,7.5, ,72.0, ,35.3, ,51.2, ,75, ,38, ,59, ,37.3, ,2.9, ,68.9, ,54.6, 
105,11/30/2021,334,0.07, ,0, ,349,R,9.0, ,71.3, ,41.6, ,58.7, ,80, ,39, ,53, ,41.8, ,2.8, ,67.9, ,55.7, 
105,12/1/2021,335,0.07, ,0, ,246, ,7.9, ,71.2, ,34.7, ,51.4, ,80, ,40, ,61, ,38.3, ,2.7, ,63.7, ,54.6, 
105,12/2/2021,336,0.07, ,0, ,232, ,8.2, ,71.0, ,35.3, ,51.7, ,79, ,42, ,63, ,39.5, ,3.2, ,76.2, ,54.6, 
105,12/3/2021,337,0.06, ,0, ,230, ,8.8, ,67.8, ,35.2, ,50.5, ,92, ,52, ,70, ,41.3, ,3.2, ,77.0, ,54.7, 
105,12/4/2021,338,0.00, ,0, ,64, ,10.3, ,53.1, ,37.8, ,45.4, ,100, ,89, ,99, ,45.3, ,4.9, ,117.7, ,53.5, 
105,12/5/2021,339,0.00, ,0.00, ,60, ,11.2, ,51.1, ,45.5, ,48.1, ,100, ,94, ,98, ,47.5, ,3.8, ,91.5, ,53.4, 
105,12/6/2021,340,0.02, ,0, ,126, ,10.5, ,54.7, ,46.4, ,48.9, ,99, ,70, ,89, ,45.8, ,3.4, ,82.7, ,54.3, 
105,12/7/2021,341,0.02, ,0, ,105, ,10.4, ,55.3, ,42.3, ,48.9, ,97, ,76, ,88, ,45.6, ,3.4, ,81.2, ,54.4, 
105,12/8/2021,342,0.05, ,0, ,209, ,9.3, ,61.0, ,35.3, ,47.5, ,99, ,60, ,83, ,42.7, ,3.6, ,85.7, ,53.5, 
105,12/9/2021,343,0.03, ,0.10, ,121, ,10.8, ,57.1, ,40.2, ,50.0, ,99, ,72, ,88, ,46.7, ,5.5, ,131.1, ,54.1, 
105,12/10/2021,344,0.07, ,0, ,240, ,7.0, ,55.7, ,32.5, ,42.6, ,99, ,46, ,75, ,35.4, ,5.8, ,138.6, ,51.0, 
105,12/11/2021,345,0.06, ,0, ,233, ,6.5, ,58.6, ,24.9, ,41.3, ,99, ,46, ,73, ,33.4, ,3.7, ,89.0, ,49.1, 
105,12/12/2021,346,0.04, ,0, ,119, ,7.4, ,57.2, ,24.8, ,44.2, ,99, ,42, ,75, ,36.9, ,3.8, ,91.6, ,48.8, 
105,12/13/2021,347,0.07, ,0.17, ,78, ,9.9, ,59.3, ,49.9, ,54.0, ,99, ,49, ,69, ,44.2, ,15.3,R,366.3,R,51.6, 
105,12/14/2021,348,0.01, ,0.33, ,79, ,10.0, ,53.0, ,35.0, ,45.3, ,99, ,80, ,97, ,44.5, ,6.0, ,144.0, ,51.5, 
105,12/15/2021,349,0.05, ,0.00, ,236, ,8.0, ,52.6, ,32.0, ,41.8, ,100, ,63, ,88, ,38.7, ,6.2, ,150.0, ,48.1, 
105,12/16/2021,350,0.01, ,0.08, ,83, ,9.7, ,48.8, ,42.1, ,44.9, ,99, ,83, ,96, ,43.8, ,8.2, ,196.2, ,49.2, 
105,12/17/2021,351,0.02, ,0, ,153, ,9.4, ,48.9, ,40.2, ,43.9, ,99, ,79, ,97, ,43.0, ,5.8, ,138.9, ,49.3, 
105,12/18/2021,352,0.02, ,0, ,108, ,8.2, ,49.3, ,31.9, ,42.8, ,99, ,72, ,87, ,39.4, ,2.7, ,65.9, ,49.3, 
105,12/19/2021,353,0.00, ,0.00, ,72, ,7.2, ,40.6,Y,28.7, ,35.8, ,100, ,99, ,100, ,36.0, ,3.8, ,91.5, ,46.7, 
105,12/20/2021,354,0, ,0.00, ,39, ,8.5, ,42.1,Y,38.9, ,40.5, ,100, ,99, ,99, ,40.4, ,2.8, ,67.6, ,47.4, 
105,12/21/2021,355,0.00, ,0, ,57, ,8.7, ,43.0, ,39.5, ,41.0, ,99, ,99, ,99, ,40.8, ,3.4, ,80.5, ,47.6, 
105,12/22/2021,356,0.00, ,0.20, ,55, ,10.1, ,50.7, ,39.4, ,44.8, ,100, ,99, ,100, ,44.9, ,7.2, ,173.9, ,48.1, 
105,12/23/2021,357,0.00, ,0.24, ,38, ,13.6,Y,58.1, ,48.3, ,52.7, ,100, ,99, ,100,Y,52.7,Y,8.2, ,195.9, ,50.2, 
105,12/24/2021,358,0.04, ,0.00, ,166, ,11.7, ,61.8, ,39.4, ,50.3, ,100, ,75, ,94, ,48.7, ,5.1, ,122.3, ,52.3, 
105,12/25/2021,359,0.05, ,0.14, ,155, ,9.1, ,57.9, ,33.1, ,45.9, ,100, ,59, ,86, ,42.0, ,6.9, ,166.4, ,49.0, 
105,12/26/2021,360,0.05, ,0, ,226, ,8.2, ,55.0, ,35.1, ,45.8, ,99, ,47, ,79, ,39.5, ,3.8, ,91.1, ,48.9, 
105,12/27/2021,361,0.02, ,0.19, ,124, ,9.8, ,52.8, ,39.8, ,44.9, ,99, ,85, ,97, ,44.0, ,5.4, ,129.9, ,49.5, 
105,12/28/2021,362,0.03, ,0.01, ,178, ,8.0, ,49.9, ,38.0, ,42.9, ,99, ,61, ,85, ,38.7, ,4.2, ,99.8, ,48.3, 
105,12/29/2021,363,0.01, ,0.05, ,103, ,10.1, ,53.9, ,40.0, ,45.1, ,100, ,89, ,99, ,44.9, ,7.9, ,190.8, ,48.5, 
105,12/30/2021,364,0.03, ,0.00, ,150, ,9.9, ,57.5, ,36.2, ,45.1, ,100, ,82, ,97, ,44.3, ,5.8, ,138.7, ,48.9, 
105,12/31/2021,365,0.04, ,0.00, ,170, ,8.9, ,58.1, ,33.2, ,43.7, ,100, ,64, ,92, ,41.5, ,7.1, ,169.3, ,48.1, 
