221,11/23/2021,327,0.11, ,0, ,259, ,3.3, ,77.3, ,50.8, ,63.9, ,23, ,11, ,16, ,17.5, ,3.3, ,80.1, ,59.7, 
221,11/24/2021,328,0.15, ,0, ,321, ,2.6, ,74.3, ,46.5, ,60.0, ,27, ,9, ,15, ,12.2, ,6.2, ,149.2, ,58.7, 
221,11/25/2021,329,0.20, ,0, ,332,R,2.1, ,71.9, ,46.2, ,60.1, ,18, ,7, ,12, ,7.1, ,9.9,Y,238.4,Y,58.3, 
221,11/26/2021,330,0.11, ,0, ,328,R,1.7, ,74.9, ,36.4, ,55.1, ,20, ,6, ,12, ,2.8, ,3.8, ,90.8, ,57.2, 
221,11/27/2021,331,0.10, ,0, ,317, ,1.6, ,76.4, ,40.0, ,57.4, ,16, ,6, ,10, ,1.6, ,3.3, ,78.3, ,56.3, 
221,11/28/2021,332,0.11, ,0, ,313, ,1.8, ,79.8, ,43.7, ,59.4, ,15, ,6, ,10, ,3.7, ,3.2, ,76.7, ,56.1, 
221,11/29/2021,333,0.11, ,0, ,312, ,2.5, ,81.6, ,45.6, ,61.2, ,20, ,7, ,14, ,11.3, ,3.1, ,74.7, ,56.1, 
221,11/30/2021,334,0.11, ,0, ,310, ,3.2, ,84.1, ,45.7, ,63.2, ,25, ,9, ,16, ,16.3, ,3.6, ,86.3, ,56.3, 
221,12/1/2021,335,0.12, ,0, ,312, ,3.3, ,83.1, ,49.1, ,64.5, ,24, ,9, ,16, ,17.0, ,3.6, ,85.2, ,56.5, 
221,12/2/2021,336,0.10, ,0, ,306, ,3.3, ,83.2, ,44.8, ,61.7, ,25, ,11, ,17, ,17.0, ,2.9, ,70.4, ,56.9, 
221,12/3/2021,337,0.10, ,0, ,301, ,3.2, ,78.8, ,46.6, ,60.7, ,26, ,11, ,18, ,16.7, ,3.2, ,75.8, ,58.2, 
221,12/4/2021,338,0.10, ,0, ,302, ,3.4, ,79.8, ,44.0, ,59.3, ,31, ,11, ,19, ,17.6, ,3.2, ,77.0, ,57.8, 
221,12/5/2021,339,0.11, ,0, ,303, ,3.3, ,80.9, ,45.9, ,61.2, ,28, ,10, ,18, ,17.6, ,3.9, ,93.5, ,57.2, 
221,12/6/2021,340,0.12, ,0, ,273, ,3.3, ,77.2, ,46.8, ,62.0, ,23, ,12, ,17, ,17.2, ,3.9, ,93.7, ,57.0, 
221,12/7/2021,341,0.06, ,0, ,86, ,7.3, ,65.4, ,52.9, ,60.1, ,57, ,16, ,41, ,36.4, ,3.4, ,81.0, ,58.2, 
221,12/8/2021,342,0.08, ,0, ,282, ,7.9, ,71.2, ,46.7, ,57.5, ,69, ,31, ,49, ,38.4, ,3.4, ,80.8, ,60.8,Y
221,12/9/2021,343,0.03, ,0.02, ,65, ,8.1, ,56.3, ,43.7, ,51.7, ,82, ,50, ,62, ,39.0, ,3.4, ,82.2, ,59.9, 
221,12/10/2021,344,0.11, ,0, ,239, ,4.7, ,61.9, ,39.7, ,51.9, ,71, ,19, ,36, ,25.6, ,7.3, ,176.3, ,58.6, 
221,12/11/2021,345,0.09, ,0, ,291, ,2.5, ,60.7, ,36.5, ,48.1, ,32, ,14, ,22, ,11.1, ,5.3, ,126.4, ,56.9, 
221,12/12/2021,346,0.08, ,0, ,291, ,2.2, ,61.7, ,28.9, ,45.4, ,37, ,13, ,22, ,8.6, ,3.2, ,75.6, ,54.6, 
221,12/13/2021,347,0.08, ,0, ,187, ,3.6, ,63.4, ,33.0, ,49.7, ,41, ,20, ,29, ,19.2, ,4.4, ,106.4, ,53.5, 
221,12/14/2021,348,0.11, ,0.02, ,135, ,7.7, ,66.7, ,42.8, ,55.5, ,67, ,42, ,51, ,37.8, ,11.3,Y,271.1,Y,54.6, 
221,12/15/2021,349,0.07, ,0, ,278, ,4.5, ,57.2, ,34.9, ,45.6, ,66, ,24, ,44, ,24.7, ,3.7, ,89.3, ,54.3, 
221,12/16/2021,350,0.07, ,0, ,273, ,4.5, ,59.4, ,30.2, ,44.8, ,69, ,27, ,45, ,24.6, ,3.3, ,78.1, ,52.8, 
221,12/17/2021,351,0.07, ,0, ,286, ,4.8, ,63.9, ,35.5, ,48.0, ,69, ,22, ,42, ,26.3, ,3.4, ,82.7, ,52.5, 
221,12/18/2021,352,0.09, ,0, ,290, ,3.6, ,62.3, ,29.2, ,45.1, ,57, ,17, ,35, ,19.0, ,4.6, ,110.7, ,51.4, 
221,12/19/2021,353,0.07, ,0, ,286, ,3.4, ,65.0, ,32.0, ,45.6, ,48, ,18, ,32, ,17.6, ,3.0, ,73.1, ,50.6, 
221,12/20/2021,354,0.07, ,0, ,272, ,3.6, ,63.1, ,31.7, ,46.7, ,54, ,18, ,33, ,19.1, ,2.7, ,64.1, ,49.8, 
221,12/21/2021,355,0.05, ,0, ,127, ,4.2, ,61.8, ,40.9, ,49.6, ,46, ,22, ,34, ,22.8, ,2.9, ,69.4, ,50.6, 
221,12/22/2021,356,0.09, ,0, ,257, ,3.9, ,65.6, ,35.5, ,52.0, ,46, ,19, ,29, ,21.2, ,2.8, ,68.2, ,50.6, 
221,12/23/2021,357,0.08, ,0.02, ,162, ,6.5, ,70.3, ,49.7, ,60.4, ,72, ,21, ,36, ,33.7, ,4.0, ,96.9, ,52.0, 
221,12/24/2021,358,0.07, ,0.07, ,204, ,11.1,Y,67.6, ,45.6, ,58.5, ,82, ,38, ,66,Y,47.2,Y,5.8, ,140.2, ,54.0, 
221,12/25/2021,359,0.08, ,0, ,240, ,8.0, ,62.0, ,40.8, ,51.2, ,84, ,45, ,63, ,38.9, ,5.7, ,135.6, ,53.4, 
221,12/26/2021,360,0.08, ,0, ,282, ,6.2, ,62.9, ,37.7, ,51.4, ,73, ,26, ,48, ,32.2, ,4.3, ,103.5, ,53.0, 
221,12/27/2021,361,0.06, ,0, ,217, ,5.6, ,56.6, ,34.1, ,45.6, ,78, ,33, ,54, ,30.0, ,5.2, ,123.9, ,51.7, 
221,12/28/2021,362,0.06, ,0, ,184, ,6.5, ,58.2, ,41.0, ,49.4, ,74, ,41, ,54, ,33.6, ,5.0, ,120.3, ,52.0, 
221,12/29/2021,363,0.09, ,0, ,260, ,5.9, ,59.1, ,33.9, ,48.3, ,71, ,35, ,51, ,30.9, ,6.5, ,154.8, ,51.7, 
221,12/30/2021,364,0.06, ,0, ,160, ,8.3, ,62.0, ,44.1, ,54.0, ,71, ,47, ,58, ,39.6, ,6.1, ,145.7, ,52.1, 
221,12/31/2021,365,0.07, ,0, ,233, ,9.4, ,64.1, ,43.9, ,53.5, ,96, ,39, ,67, ,42.9, ,6.4, ,152.4, ,53.0, 
