13,11/21/2021,325,0.10, ,0, ,294, ,5.4, ,69.8, ,46.5, ,57.0, ,48, ,20, ,34, ,29.0, ,4.8, ,114.7, ,54.4, 
13,11/22/2021,326,0.09, ,0, ,294, ,5.5, ,67.2, ,46.2, ,54.0, ,60, ,24, ,39, ,29.6, ,5.3, ,128.3, ,53.9, 
13,11/23/2021,327,0.09, ,0, ,273, ,6.0, ,61.2, ,43.4, ,50.5, ,83, ,26, ,48, ,31.5, ,5.1, ,122.0, ,53.4, 
13,11/24/2021,328,0.09, ,0, ,285, ,4.3, ,59.1, ,43.1, ,50.7, ,57, ,19, ,34, ,23.5, ,5.9, ,140.7, ,52.9, 
13,11/25/2021,329,0.08, ,0, ,263, ,5.5, ,62.3, ,42.5, ,51.2, ,60, ,19, ,43, ,29.6, ,4.3, ,102.8, ,52.3, 
13,11/26/2021,330,0.09, ,0, ,263, ,5.5, ,66.6, ,46.9, ,53.5, ,65, ,21, ,39, ,29.4, ,4.1, ,98.4, ,52.2, 
13,11/27/2021,331,0.07, ,0, ,251, ,7.6, ,64.5, ,46.7, ,54.8, ,67, ,40, ,52, ,37.6, ,3.6, ,85.7, ,52.2, 
13,11/28/2021,332,0.09, ,0, ,266, ,7.2, ,72.5,Y,49.6, ,58.9,Y,66, ,25, ,42,Y,36.1,Y,4.7, ,111.6, ,52.5, 
13,11/29/2021,333,0.10, ,0, ,263, ,6.8, ,72.5,Y,51.1,Y,59.3,Y,53, ,26, ,39,Y,34.6,Y,5.0, ,120.3, ,52.8, 
13,11/30/2021,334,0.10, ,0, ,273, ,6.0, ,71.6, ,52.2,Y,62.1,Y,51, ,19, ,32,Y,31.6,Y,4.9, ,116.6, ,53.0, 
13,12/1/2021,335,0.11, ,0, ,266, ,7.0, ,77.7,Y,57.2,R,64.3,Y,49, ,23, ,34,Y,35.5,Y,5.0, ,119.9, ,53.2, 
13,12/2/2021,336,0.10, ,0.01, ,259, ,6.4, ,70.9, ,51.5,Y,59.5,Y,53, ,25, ,37,Y,33.3,Y,5.3, ,128.1, ,53.5, 
13,12/3/2021,337,0.08, ,0, ,253, ,7.0, ,65.4, ,47.6, ,55.0, ,64, ,35, ,47, ,35.3, ,4.9, ,117.6, ,53.2, 
13,12/4/2021,338,0.07, ,0, ,255, ,7.5, ,64.7, ,46.4, ,52.9, ,75, ,38, ,55, ,37.2, ,4.7, ,111.6, ,52.9, 
13,12/5/2021,339,0.09, ,0, ,250, ,6.3, ,66.3, ,47.7, ,55.8, ,58, ,23, ,41, ,32.6, ,4.7, ,113.6, ,52.6, 
13,12/6/2021,340,0.02, ,0.12, ,54, ,7.9, ,54.3, ,44.7, ,49.9, ,97, ,43, ,64, ,38.4, ,3.4, ,81.3, ,52.4, 
13,12/7/2021,341,0.03, ,0.04, ,164, ,11.0, ,56.8, ,43.0, ,48.1, ,99, ,87, ,97, ,47.1, ,3.4, ,81.9, ,52.7, 
13,12/8/2021,342,0.02, ,0.01, ,121, ,9.4, ,53.1, ,42.8, ,46.6, ,99, ,75, ,87, ,43.0, ,3.9, ,94.3, ,52.9, 
13,12/9/2021,343,0.02, ,0.81, ,108, ,8.2, ,44.2, ,34.2, ,40.1, ,99, ,89, ,97, ,39.3, ,4.2, ,101.8, ,52.2, 
13,12/10/2021,344,0.05, ,0, ,250, ,5.6, ,47.9, ,32.5, ,38.0, ,93, ,50, ,73, ,30.0, ,4.8, ,116.3, ,50.8, 
13,12/11/2021,345,0.05, ,0, ,209, ,6.4, ,49.9, ,32.9, ,40.7, ,89, ,55, ,74, ,33.0, ,4.7, ,113.1, ,49.9, 
13,12/12/2021,346,0.03, ,0.75, ,47, ,6.8, ,47.0, ,40.4, ,43.0, ,92, ,48, ,72, ,34.6, ,10.3,Y,246.0,Y,49.8, 
13,12/13/2021,347,0.01, ,1.62, ,44, ,8.3, ,46.2, ,34.1, ,42.5, ,97, ,83, ,90, ,39.8, ,16.4,R,392.7,R,48.5, 
13,12/14/2021,348,0.00, ,0.46, ,32, ,6.1, ,38.4, ,30.4, ,32.9, ,98, ,84, ,95, ,31.8, ,2.5, ,59.4, ,47.3, 
13,12/15/2021,349,0.04, ,0.33,H,175, ,5.3, ,39.7, ,31.4, ,35.5, ,93, ,59, ,75, ,28.5, ,10.4,Y,250.0,Y,46.5, 
13,12/16/2021,350,0.01, ,0.30, ,75, ,7.5, ,42.6, ,34.3, ,38.0, ,99, ,83, ,97, ,37.2, ,6.9, ,165.6, ,44.7, 
13,12/17/2021,351,0.05, ,0.00, ,252, ,5.6, ,49.7, ,32.5, ,38.2, ,96, ,45, ,72, ,29.9, ,4.7, ,113.9, ,45.1, 
13,12/18/2021,352,0.05, ,0, ,242, ,5.9, ,53.5, ,31.3, ,41.6, ,87, ,45, ,65, ,30.9, ,4.7, ,111.7, ,45.0, 
13,12/19/2021,353,0.06, ,0, ,237, ,4.9, ,51.8, ,35.6, ,41.9, ,88, ,39, ,54, ,26.7, ,5.4, ,128.7, ,45.2, 
13,12/20/2021,354,0.05, ,0, ,204, ,4.4, ,48.9, ,33.3, ,41.3, ,73, ,35, ,50, ,24.0, ,4.0, ,96.7, ,45.1, 
13,12/21/2021,355,0.06, ,0, ,218, ,3.9, ,56.0, ,38.3, ,45.4, ,70, ,26, ,38, ,21.4, ,4.9, ,116.7, ,45.1, 
13,12/22/2021,356,0.02, ,0.23, ,74, ,9.3, ,52.1, ,40.5, ,47.2, ,99, ,28, ,84, ,42.7, ,7.9, ,190.4, ,45.7, 
13,12/23/2021,357,0.00, ,1.67, ,26, ,10.3,Y,49.5, ,44.1, ,46.1, ,99, ,94, ,97,Y,45.4,Y,10.3,Y,246.7,Y,47.0, 
13,12/24/2021,358,0.01, ,1.04, ,61, ,8.4, ,44.8, ,36.0, ,40.8, ,99, ,89, ,97, ,40.2, ,10.4,Y,248.9,Y,47.0, 
13,12/25/2021,359,0.00, ,0.64, ,33, ,7.1, ,40.5, ,33.0, ,37.4, ,98, ,86, ,94, ,35.8, ,12.8,R,306.4,R,46.4, 
13,12/26/2021,360,0.00, ,0.05, ,45, ,5.9, ,33.6,Y,31.1, ,32.0, ,99, ,92, ,97, ,31.3, ,10.0,Y,241.0,Y,45.2, 
13,12/27/2021,361,0.01, ,0.14, ,80, ,6.0, ,32.9,Y,30.5, ,31.7, ,100, ,99, ,99, ,31.5, ,9.9,Y,236.4,Y,44.4, 
13,12/28/2021,362,0.02, ,0.35,H,165, ,6.0, ,34.8,Y,29.2, ,32.0, ,100, ,84, ,98, ,31.6, ,4.2, ,101.2, ,43.9, 
13,12/29/2021,363,0.01, ,0.49, ,65, ,6.4, ,37.5, ,31.8, ,34.8, ,98, ,81, ,94, ,33.2, ,4.8, ,114.6, ,43.3, 
13,12/30/2021,364,0.03, ,0, ,168, ,6.5, ,43.4, ,30.7, ,36.8, ,98, ,72, ,87, ,33.5, ,4.0, ,95.4, ,42.7, 
13,12/31/2021,365,0.02, ,0.00, ,151, ,6.5, ,40.4, ,32.1, ,36.1, ,99, ,63, ,90, ,33.6, ,3.4, ,80.8, ,42.5, 
