205,11/25/2021,329,0.09, ,0, ,320,R,4.7, ,69.7, ,35.1, ,50.1, ,57, ,18, ,38, ,25.4, ,3.6, ,86.7, ,59.6, 
205,11/26/2021,330,0.08, ,0, ,291, ,6.0, ,66.8, ,33.3, ,50.3, ,60, ,34, ,48, ,31.6, ,4.1, ,98.9, ,59.2, 
205,11/27/2021,331,0.09, ,0, ,296, ,6.3, ,69.2, ,40.7, ,55.0, ,52, ,30, ,42, ,32.6, ,4.4, ,104.7, ,59.3, 
205,11/28/2021,332,0.09, ,0, ,303, ,7.0, ,71.0, ,41.0, ,56.6, ,65, ,30, ,45, ,35.4, ,4.1, ,99.1, ,59.7, 
205,11/29/2021,333,0.09, ,0, ,299, ,7.2, ,72.6, ,39.4, ,55.7, ,64, ,30, ,48, ,36.1, ,3.9, ,94.7, ,59.8, 
205,11/30/2021,334,0.09, ,0, ,295, ,8.1, ,72.1, ,45.2, ,57.9, ,60, ,37, ,49, ,38.9, ,4.6, ,111.2, ,60.0, 
205,12/1/2021,335,0.09, ,0, ,297, ,8.1, ,73.5, ,45.0, ,58.5, ,62, ,35, ,48, ,39.0, ,4.3, ,103.8, ,60.4, 
205,12/2/2021,336,0.08, ,0, ,242, ,7.4, ,72.8, ,40.8, ,55.1, ,70, ,30, ,50, ,36.7, ,3.7, ,88.6, ,60.2, 
205,12/3/2021,337,0.08, ,0, ,271, ,8.2, ,69.3, ,42.0, ,55.7, ,71, ,39, ,54, ,39.3, ,3.7, ,89.2, ,59.8, 
205,12/4/2021,338,0.06, ,0, ,271, ,9.3, ,60.2, ,40.4, ,48.9, ,100, ,64, ,78, ,42.5, ,3.7, ,88.2, ,59.5, 
205,12/5/2021,339,0.00, ,0, ,63, ,10.2, ,49.3,Y,42.0, ,46.2, ,100, ,88, ,96, ,45.1, ,3.1, ,73.2, ,58.9, 
205,12/6/2021,340,0.03, ,0, ,159, ,9.6, ,55.2, ,43.3, ,47.4, ,100, ,66, ,86, ,43.5, ,3.2, ,77.4, ,58.2, 
205,12/7/2021,341,0.02, ,0, ,125, ,10.1, ,54.7, ,40.6, ,47.2, ,100, ,73, ,91, ,44.8, ,2.9, ,68.7, ,58.0, 
205,12/8/2021,342,0.06, ,0, ,268, ,9.8, ,62.2, ,38.2, ,49.7, ,100, ,60, ,81, ,44.1, ,3.5, ,84.5, ,57.4, 
205,12/9/2021,343,0.05, ,0.07, ,173, ,9.4, ,58.8, ,39.2, ,50.3, ,97, ,54, ,76, ,43.0, ,4.9, ,118.0, ,57.7, 
205,12/10/2021,344,0.07, ,0, ,284, ,6.4, ,56.8, ,33.4, ,44.2, ,85, ,45, ,65, ,33.1, ,4.0, ,95.4, ,56.4, 
205,12/11/2021,345,0.06, ,0, ,281, ,6.2, ,58.6, ,35.6, ,45.0, ,72, ,46, ,61, ,32.2, ,4.1, ,98.9, ,55.4, 
205,12/12/2021,346,0.06, ,0.01, ,189, ,6.1, ,58.8, ,32.3, ,49.7, ,66, ,28, ,50, ,31.8, ,4.9, ,118.1, ,54.9, 
205,12/13/2021,347,0.05, ,0.23, ,60, ,10.0, ,57.2, ,52.4, ,54.4, ,89, ,58, ,69, ,44.4, ,10.2,R,243.8,R,55.4, 
205,12/14/2021,348,0.03, ,0.28, ,83, ,8.6, ,56.0, ,35.9, ,47.2, ,95, ,59, ,77, ,40.5, ,6.7, ,161.0, ,55.3, 
205,12/15/2021,349,0.05, ,0, ,278, ,7.2, ,52.7, ,34.8, ,43.5, ,96, ,54, ,75, ,36.1, ,3.8, ,91.3, ,53.6, 
205,12/16/2021,350,0.03, ,0.07, ,129, ,10.9, ,54.7, ,41.1, ,48.4, ,100, ,74, ,94, ,46.7, ,5.0, ,119.6, ,53.7, 
205,12/17/2021,351,0.02, ,0.00, ,124, ,8.5, ,47.9,Y,33.9, ,42.4, ,100, ,82, ,93, ,40.4, ,2.8, ,66.1, ,53.5, 
205,12/18/2021,352,0.02, ,0, ,134, ,7.9, ,49.1,Y,34.3, ,42.1, ,100, ,72, ,87, ,38.5, ,3.6, ,85.9, ,53.0, 
205,12/19/2021,353,0.05, ,0.00, ,290,R,7.9, ,54.7, ,30.9, ,40.7, ,100, ,69, ,92, ,38.5, ,2.1, ,49.9, ,52.0, 
205,12/20/2021,354,0.00,R,0.01, ,68, ,7.7, ,39.9,R,34.9, ,37.8, ,100, ,100, ,100, ,37.8, ,1.8, ,43.1, ,51.9, 
205,12/21/2021,355,0.03, ,0, ,177, ,8.2, ,48.0,Y,36.6, ,40.1, ,100, ,84, ,98, ,39.5, ,2.5, ,61.2, ,51.4, 
205,12/22/2021,356,0.01, ,0.31, ,71, ,10.6, ,53.6, ,38.7, ,46.4, ,100, ,85, ,99, ,46.2, ,2.7, ,64.0, ,51.6, 
205,12/23/2021,357,0.00, ,0.36, ,39, ,14.1,Y,59.1, ,48.8, ,54.5, ,100, ,80, ,97,Y,53.8,Y,3.6, ,85.5, ,52.7, 
205,12/24/2021,358,0.06, ,0.06, ,242, ,11.3, ,64.3, ,42.5, ,52.6, ,100, ,61, ,83, ,47.7, ,4.3, ,103.4, ,53.9, 
205,12/25/2021,359,0.04, ,0.23, ,149, ,8.6, ,56.9, ,40.4, ,47.9, ,88, ,58, ,75, ,40.5, ,7.2, ,171.6, ,53.6, 
205,12/26/2021,360,0.05, ,0, ,258, ,7.5, ,53.2, ,35.7, ,45.3, ,90, ,53, ,73, ,37.3, ,3.4, ,82.0, ,52.3, 
205,12/27/2021,361,0.04, ,0.02, ,163, ,8.3, ,54.2, ,41.3, ,47.0, ,89, ,59, ,76, ,39.8, ,5.4, ,129.8, ,52.2, 
205,12/28/2021,362,0.04, ,0, ,168, ,7.3, ,48.5, ,41.3, ,43.8, ,91, ,66, ,75, ,36.5, ,3.7, ,89.2, ,51.6, 
205,12/29/2021,363,0.01, ,0.14,H,75, ,9.6, ,47.5, ,41.0, ,44.0, ,100, ,91, ,98, ,43.5, ,3.5, ,84.7, ,51.4, 
205,12/30/2021,364,0.02, ,0.00, ,106, ,10.3, ,51.7, ,39.1, ,46.2, ,100, ,87, ,96, ,45.2, ,3.1, ,75.2, ,51.5, 
205,12/31/2021,365,0.03, ,0, ,114, ,8.3, ,51.5, ,37.5, ,43.8, ,100, ,72, ,86, ,39.8, ,5.2, ,124.6, ,51.1, 
