80,11/23/2021,327,0.03, ,0.02, ,177, ,10.8, ,61.6, ,41.6, ,48.7, ,99, ,64, ,92, ,46.6, ,3.1, ,74.5, ,61.3, 
80,11/24/2021,328,0.05, ,0.00, ,211, ,10.7, ,62.1, ,38.0, ,49.2, ,99, ,63, ,90, ,46.4, ,3.0, ,71.4, ,61.1, 
80,11/25/2021,329,0.07, ,0.01, ,281, ,8.7, ,65.8, ,32.5, ,46.8, ,99, ,41, ,79, ,40.8, ,2.0, ,48.8, ,60.6, 
80,11/26/2021,330,0.06, ,0.01, ,241, ,8.7, ,64.7, ,32.4, ,46.5, ,100, ,48, ,81, ,40.9, ,2.0, ,48.7, ,59.8, 
80,11/27/2021,331,0.06, ,0.00, ,267, ,9.0, ,67.7, ,35.7, ,48.6, ,100, ,41, ,77, ,41.7, ,1.9, ,46.1, ,59.3, 
80,11/28/2021,332,0.07, ,0.01, ,272, ,9.1, ,71.6, ,34.0, ,50.3, ,100, ,38, ,73, ,42.1, ,1.8, ,42.8, ,58.9, 
80,11/29/2021,333,0.07, ,0.00, ,266, ,9.7, ,70.6, ,35.4, ,50.6, ,100, ,43, ,77, ,43.7, ,1.7, ,41.3, ,58.6, 
80,11/30/2021,334,0.07, ,0.00, ,260, ,9.8, ,72.6, ,35.5, ,51.7, ,100, ,38, ,75, ,44.1, ,2.0, ,47.0, ,58.5, 
80,12/1/2021,335,0.07, ,0, ,259, ,10.0, ,74.4,Y,37.6, ,52.4, ,100, ,36, ,74, ,44.5, ,1.8, ,42.3, ,58.4, 
80,12/2/2021,336,0.07, ,0, ,250, ,10.3, ,73.6,Y,37.4, ,53.3, ,99, ,40, ,74, ,45.2, ,2.5, ,58.9, ,58.2, 
80,12/3/2021,337,0.06, ,0, ,243, ,10.6, ,70.4, ,37.6, ,51.7, ,99, ,47, ,81, ,46.1, ,2.0, ,47.8, ,58.2, 
80,12/4/2021,338,0.02, ,0, ,137, ,10.4, ,53.1, ,39.0, ,45.8, ,99, ,93, ,99, ,45.6, ,3.9, ,92.8, ,58.0, 
80,12/5/2021,339,0, ,0, ,30, ,11.2, ,49.3, ,45.4, ,47.8, ,99, ,99, ,99, ,47.6, ,3.1, ,74.8, ,58.1, 
80,12/6/2021,340,0, ,0, ,36, ,10.5, ,47.0, ,44.8, ,46.0, ,99, ,99, ,99, ,45.8, ,2.9, ,70.5, ,58.2, 
80,12/7/2021,341,0.02, ,0, ,109, ,10.1, ,55.5, ,36.5, ,46.6, ,99, ,74, ,94, ,44.9, ,2.9, ,68.4, ,58.1, 
80,12/8/2021,342,0.05, ,0, ,229, ,10.3, ,62.6, ,35.6, ,48.8, ,99, ,60, ,87, ,45.2, ,3.0, ,72.3, ,57.8, 
80,12/9/2021,343,0.02, ,0.42, ,92, ,11.2, ,53.6, ,39.2, ,49.5, ,99, ,74, ,93, ,47.5, ,4.1, ,98.0, ,58.0, 
80,12/10/2021,344,0.03, ,0, ,180, ,9.6, ,56.5, ,36.9, ,45.6, ,99, ,66, ,92, ,43.6, ,2.3, ,54.1, ,57.8, 
80,12/11/2021,345,0.05, ,0, ,252, ,8.5, ,58.4, ,31.5, ,43.4, ,100, ,60, ,89, ,40.2, ,2.5, ,61.0, ,57.3, 
80,12/12/2021,346,0.04, ,0, ,149, ,8.5, ,58.4, ,31.2, ,46.8, ,100, ,50, ,78, ,40.3, ,3.0, ,71.5, ,56.7, 
80,12/13/2021,347,0.03, ,0.32, ,35, ,9.8, ,55.7, ,49.2, ,52.4, ,92, ,61, ,73, ,44.0, ,8.9,R,214.2,R,56.8, 
80,12/14/2021,348,0.00, ,1.20, ,32, ,9.9, ,51.9, ,34.8, ,44.3, ,99, ,94, ,100, ,44.2, ,5.1, ,121.7, ,56.2, 
80,12/15/2021,349,0.05, ,0, ,367,R,8.0, ,51.0, ,44.8, ,47.4, ,99, ,64, ,72, ,38.9, ,6.2, ,148.7, ,55.4, 
80,12/16/2021,350,0.03, ,0.08, ,114, ,9.3, ,54.8, ,43.2, ,47.7, ,99, ,58, ,83, ,42.7, ,6.2, ,147.9, ,55.4, 
80,12/17/2021,351,0.01, ,0, ,71, ,9.6, ,49.6, ,42.4, ,44.6, ,99, ,84, ,96, ,43.6, ,2.8, ,66.0, ,55.8, 
80,12/18/2021,352,0.02, ,0, ,130, ,8.6, ,51.2, ,32.6, ,43.6, ,99, ,68, ,89, ,40.6, ,2.3, ,54.2, ,55.9, 
80,12/19/2021,353,0.05, ,0, ,266, ,7.9, ,58.9, ,28.0, ,41.1, ,100, ,50, ,90, ,38.4, ,3.4, ,81.3, ,55.3, 
80,12/20/2021,354,0.00, ,0, ,41, ,8.4, ,41.3, ,38.5, ,40.2, ,99, ,99, ,99, ,40.1, ,2.9, ,68.7, ,55.1, 
80,12/21/2021,355,0.02, ,0, ,130, ,8.1, ,49.4, ,33.4, ,40.4, ,99, ,70, ,95, ,39.1, ,3.2, ,75.8, ,55.1, 
80,12/22/2021,356,0.00, ,0.44, ,47, ,10.4, ,53.7, ,38.2, ,46.8, ,99, ,76, ,95, ,45.6, ,5.2, ,124.8, ,54.8, 
80,12/23/2021,357,0, ,0.88, ,25, ,13.8,Y,57.8, ,48.9, ,53.5, ,99, ,93, ,99,Y,53.2,Y,6.4, ,154.2, ,55.0, 
80,12/24/2021,358,0.04, ,0.07, ,165, ,12.0, ,63.0, ,39.7, ,52.7, ,99, ,68, ,88, ,49.4, ,5.5, ,132.2, ,55.7, 
80,12/25/2021,359,0.05, ,0.25, ,201, ,9.7, ,56.0, ,38.0, ,47.6, ,99, ,64, ,86, ,43.7, ,6.5, ,156.6, ,55.8, 
80,12/26/2021,360,0.05, ,0, ,252, ,8.2, ,55.3, ,36.9, ,46.0, ,99, ,49, ,77, ,39.3, ,2.8, ,67.4, ,55.3, 
80,12/27/2021,361,0.01, ,0.34, ,82, ,9.1, ,49.0, ,40.3, ,44.1, ,99, ,83, ,93, ,42.2, ,6.2, ,147.8, ,55.0, 
80,12/28/2021,362,0.02, ,0.02, ,129, ,7.9, ,48.5, ,35.5, ,41.1, ,99, ,66, ,90, ,38.4, ,3.0, ,71.8, ,54.6, 
80,12/29/2021,363,0.02, ,0.24, ,83, ,9.2, ,52.1, ,34.7, ,45.1, ,99, ,75, ,90, ,42.3, ,5.6, ,133.3, ,54.1, 
80,12/30/2021,364,0.03, ,0, ,162, ,9.3, ,53.6, ,36.4, ,43.9, ,99, ,75, ,95, ,42.6, ,3.3, ,78.5, ,53.9, 
80,12/31/2021,365,0.02, ,0, ,114, ,8.3, ,50.7, ,31.7, ,41.5, ,99, ,71, ,93, ,39.7, ,4.4, ,105.4, ,53.8, 
